,global_x,global_y,Region
6,-120.5124875,117.074727083333,Atria
8,-119.509883333334,70.4178260416666,black
9,-118.543086458334,95.4471229166666,black
10,-117.397253125,5.4275916666666,black
11,-119.0953,129.0343625,Atria
12,-117.110794791667,84.4542843749999,black
19,-111.130977083334,69.1287635416666,black
21,-111.668086458334,40.3397010416666,black
25,-106.082148958334,-38.5795697916667,black
28,-104.578242708334,73.4256385416666,black
29,-104.1843625,106.260925,Atria
32,-102.286576041667,96.0558468749999,Atria
36,-98.4703000000003,9.04412812499993,black
37,-97.9331906250003,50.1867062499999,black
38,-96.5367062500003,-1.59063750000007,black
40,-94.2808468750003,102.823425,Atria
41,-95.3550656250003,119.15155,Atria
42,-94.3882687500003,92.9406124999999,Atria
43,-91.4878781250003,-17.4890750000001,black
45,-90.9507687500003,79.2980343749999,Atria
46,-90.0913937500003,111.524596875,Atria
47,-90.6285031250003,60.3917843749999,Atria
48,-87.8355343750003,12.9113156249999,black
49,-88.2652218750003,-63.3073041666668,black
50,-88.8023312500003,-33.3875125000001,black
52,-88.3726437500003,-51.9714968750001,black
53,-87.1910031250003,84.9913937499999,Atria
54,-87.2984250000003,44.1710812499999,black
55,-86.6538937500003,32.1398312499999,black
56,-87.9071489583336,130.952852083333,Atria
57,-85.2574093750003,68.5558468749999,Atria
58,-84.8277218750003,102.716003125,Atria
59,-84.3980343750003,92.2960812499999,Atria
60,-82.2495968750003,-26.5125125000001,black
61,-81.3902218750003,-18.4558718750001,black
62,-82.5718625000003,57.2765499999999,Atria
63,-82.8941281250003,51.9054562499999,Atria
64,-80.996341666667,124.435925,Atria
65,-81.4976437500003,-5.13555937500007,black
66,-80.6382687500003,-47.6746218750001,black
69,-79.0269406250003,98.2042843749999,Atria
70,-79.9579302083336,-67.7116010416668,black
71,-79.0269406250003,70.4894406249999,Atria
73,-76.8785031250003,78.5460812499999,Atria
74,-76.2339718750003,48.1994015624999,Atria
77,-71.8296750000003,21.3976437499999,Atria
78,-69.2515500000003,36.9738156249999,Atria
81,-67.890872916667,-71.1132937500001,black
82,-68.0699093750003,-6.63946562500007,black
83,-68.3921750000003,-62.5553510416668,black
85,-65.9214718750003,28.4874874999999,Atria
86,-64.3101437500003,-14.5886843750001,black
